case_id,late_stage_mode,rho_close_mid,rho_close_width,k_closed_level,Q_closed_kJ_mol,q_closed,gas_pressure_ratio,residual_stress_coupling,pore_detachment_level,G0_nm,rho0,initial_topology,peak_T_C,hold_h,fast_rate_C_min,budget_h,rho_target,reference_rate_C_min,reference_attained_0p2,reference_attained_1,fast_attained
LS059,combined_late_stage,0.94,0.02,high,300.0,3.0,1.0,mixed_signed,low,300.0,0.75,TJ_rich,1500.0,2.0,100.0,500.0,0.9,0.2,True,False,False
LS059,combined_late_stage,0.94,0.02,high,300.0,3.0,1.0,mixed_signed,low,300.0,0.75,TJ_rich,1500.0,2.0,100.0,500.0,0.92,0.2,True,False,False
LS059,combined_late_stage,0.94,0.02,high,300.0,3.0,1.0,mixed_signed,low,300.0,0.75,TJ_rich,1500.0,2.0,100.0,500.0,0.95,nan,False,False,False
LS059,combined_late_stage,0.94,0.02,high,300.0,3.0,1.0,mixed_signed,low,300.0,0.75,TJ_rich,1500.0,2.0,100.0,500.0,0.98,nan,False,False,False
LS059,combined_late_stage,0.94,0.02,high,300.0,3.0,1.0,mixed_signed,low,300.0,0.75,TJ_rich,1500.0,2.0,100.0,500.0,0.99,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.9,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.92,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.95,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.98,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.99,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.9,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.92,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.95,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.98,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.99,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.9,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.92,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.95,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.98,nan,False,False,False
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.99,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.9,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.92,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.95,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.98,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.99,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.9,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.92,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.95,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.98,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.99,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.9,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.92,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.95,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.98,nan,False,False,False
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.99,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.9,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.92,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.95,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.98,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,96.0,0.99,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.9,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.92,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.95,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.98,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,240.0,0.99,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.9,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.92,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.95,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.98,nan,False,False,False
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0,500.0,0.99,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,96.0,0.9,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,96.0,0.92,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,96.0,0.95,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,96.0,0.98,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,96.0,0.99,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,240.0,0.9,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,240.0,0.92,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,240.0,0.95,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,240.0,0.98,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,240.0,0.99,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,500.0,0.9,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,500.0,0.92,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,500.0,0.95,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,500.0,0.98,nan,False,False,False
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0,500.0,0.99,nan,False,False,False
