config_id,law,T1_C,switch_density,hold_h,lower_boundary_present,upper_boundary_present,T_lower_density_C,T_upper_growth_C,success_count,success_min_T2_C,success_max_T2_C,finite_window,window_width_C,boundary_gap_C
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1450,0.85,20,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1450,0.85,40,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1450,0.88,20,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1450,0.88,40,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1450,0.9,20,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1450,0.9,40,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.75,20,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.75,40,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.8,20,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.8,40,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.85,20,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.85,40,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.88,20,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.88,40,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.9,20,False,False,,1300,0,,,False,,
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,1500,0.9,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.75,20,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.75,40,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.8,20,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.8,40,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.85,20,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.85,40,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.88,20,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.88,40,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.9,20,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1250,0.9,40,False,False,,1225,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.75,20,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.75,40,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.8,20,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.8,40,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.85,20,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.85,40,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.88,20,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.88,40,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.9,20,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1300,0.9,40,False,False,,1275,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.75,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.75,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.8,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.8,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.85,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.85,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.88,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.88,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.9,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1350,0.9,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.75,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.75,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.8,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.8,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.85,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.85,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.88,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.88,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.9,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1400,0.9,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.75,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.75,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.8,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.8,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.85,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.85,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.88,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.88,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.9,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1450,0.9,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.75,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.75,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.8,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.8,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.85,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.85,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.88,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.88,40,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.9,20,False,False,,1300,0,,,False,,
resolved_proxy_current__m3__x1,resolved_proxy_current,1500,0.9,40,False,False,,1300,0,,,False,,
